Seq	Time	CANInd	Orentation	ID	Frame	Type	DLC	DATA
0	17:08:16:047	0	接收	00 02 24 00 	数据帧	扩展帧	8	00 14 C6 51 02 01 2F 66 
1	17:08:16:064	0	接收	00 02 26 00 	数据帧	扩展帧	8	6C 61 73 68 2F 74 65 73 
2	17:08:16:064	0	接收	00 02 26 00 	数据帧	扩展帧	7	74 00 00 00 03 49 A6 
3	17:08:16:064	0	接收	02 20 02 00 	数据帧	扩展帧	8	99 FF 02 01 AA AA AA 99 
4	17:08:17:126	0	接收	00 02 24 D7 	数据帧	扩展帧	8	04 12 C7 02 01 00 00 01 
5	17:08:17:157	0	接收	00 02 26 D7 	数据帧	扩展帧	8	00 00 00 00 00 00 04 00 
6	17:08:17:174	0	接收	00 02 26 D7 	数据帧	扩展帧	8	31 32 31 32 32 32 32 32 
7	17:08:17:190	0	接收	00 02 26 D7 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
8	17:08:17:220	0	接收	00 02 26 D7 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
9	17:08:17:238	0	接收	00 02 26 D7 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
10	17:08:17:251	0	接收	00 02 26 D7 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
11	17:08:17:270	0	接收	00 02 26 D7 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
12	17:08:17:295	0	接收	00 02 26 D7 	数据帧	扩展帧	8	32 32 32 32 32 32 32 32 
13	17:08:17:310	0	接收	00 02 26 D7 	数据帧	扩展帧	8	32 32 32 32 33 33 33 33 
14	17:08:17:327	0	接收	00 02 26 D7 	数据帧	扩展帧	8	33 33 33 33 33 33 33 33 
15	17:08:17:342	0	接收	00 1F A8 00 	数据帧	扩展帧	8	50 05 5B BD C1 A3 00 00 
16	17:08:17:374	0	接收	00 02 26 D7 	数据帧	扩展帧	8	33 33 33 33 33 33 33 33 
17	17:08:17:410	0	接收	00 02 26 D7 	数据帧	扩展帧	8	33 33 33 33 33 33 33 33 
18	17:08:17:420	0	接收	00 02 26 D7 	数据帧	扩展帧	8	72 66 64 66 61 64 66 61 
19	17:08:17:456	0	接收	00 02 26 D7 	数据帧	扩展帧	8	64 66 61 73 64 66 61 66 
20	17:08:17:470	0	接收	00 02 26 D7 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
21	17:08:17:486	0	接收	00 02 26 D7 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
22	17:08:17:502	0	接收	00 02 26 D7 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
23	17:08:17:529	0	接收	00 02 26 D7 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
24	17:08:17:549	0	接收	00 02 26 D7 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
25	17:08:17:566	0	接收	00 02 26 D7 	数据帧	扩展帧	8	61 61 61 61 61 61 61 61 
26	17:08:17:598	0	接收	00 02 26 D7 	数据帧	扩展帧	8	61 61 61 61 61 61 61 6C 
27	17:08:17:607	0	接收	00 02 26 D7 	数据帧	扩展帧	8	6A 6C 61 6A 64 66 6C 61 
28	17:08:17:624	0	接收	00 02 26 D7 	数据帧	扩展帧	8	6A 64 73 6C 66 61 6A 6C 
29	17:08:17:643	0	接收	00 02 26 D7 	数据帧	扩展帧	8	64 73 6A 66 6C 61 64 73 
30	17:08:17:678	0	接收	00 02 26 D7 	数据帧	扩展帧	8	6A 66 6C 61 64 6A 73 66 
31	17:08:17:685	0	接收	00 02 26 D7 	数据帧	扩展帧	8	6C 61 6A 64 6C 66 6A 61 
32	17:08:17:704	0	接收	00 02 26 D7 	数据帧	扩展帧	8	73 6C 64 66 6A 6C 61 64 
33	17:08:17:739	0	接收	00 02 26 D7 	数据帧	扩展帧	8	73 6A 66 61 6C 64 73 6A 
34	17:08:17:749	0	接收	00 02 26 D7 	数据帧	扩展帧	8	66 6C 61 6B 64 73 6A 66 
35	17:08:17:769	0	接收	00 02 26 D7 	数据帧	扩展帧	8	6C 61 73 64 6B 6A 66 61 
36	17:08:17:796	0	接收	00 02 26 D7 	数据帧	扩展帧	8	64 73 6B 64 64 64 64 64 
37	17:08:17:814	0	接收	00 02 26 D7 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
38	17:08:17:828	0	接收	00 02 26 D7 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
39	17:08:17:845	0	接收	00 02 26 D7 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
40	17:08:17:866	0	接收	00 02 26 D7 	数据帧	扩展帧	8	64 64 64 64 64 64 64 64 
